MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
6729359,170322883,02/01/2017,02/01/2017,18:00:00,02/01/2017,19:00:00,105,,,102 OLLIE ST NW @WASHINGTON PARK,0710,2404,,1,Eve,Wed,11,AUTO THEFT,Washington Park,K,-84.421400000000006,33.757350000000002
6729360,170322902,02/01/2017,02/01/2017,06:30:00,02/01/2017,19:17:00,612,,,704 CLIFTON RD SE,0690,2399,,1,Day,Wed,20,LARCENY-NON VEHICLE,East Atlanta,W,-84.32987,33.734690000000001
6729361,170322921,02/01/2017,01/01/2017,08:00:00,02/01/2017,19:26:00,606,,2547,880 GLENWOOD AVE SE,0660,2317,,1,Unk,Unk,18,LARCENY-NON VEHICLE,Grant Park,W,-84.359170000000006,33.739910000000002
6729362,170322922,02/01/2017,02/01/2017,14:00:00,02/01/2017,19:26:00,503,,2,199 12TH ST NE,0690,2399,,1,Eve,Wed,18,LARCENY-NON VEHICLE,Midtown,E,-84.38073,33.783990000000003
6729363,170323087,02/01/2017,02/01/2017,20:20:00,02/01/2017,20:25:00,603,,,660 RALPH MCGILL BLVD NE,0311,1204,,1,Eve,Wed,31,ROBBERY-PEDESTRIAN,Old Fourth Ward,M,-84.365780000000001,33.765000000000001
6729364,170323125,02/01/2017,02/01/2017,20:30:00,02/01/2017,20:41:00,606,,,1099 WYLIE ST SE,0410,1314,,1,Eve,Wed,13,AGG ASSAULT,Reynoldstown,N,-84.351119999999995,33.75226
6729365,170323153,02/01/2017,02/01/2017,20:52:00,02/01/2017,20:57:00,112,,,2907 ELEANOR TER NW,0710,2404,,1,Eve,Wed,20,AUTO THEFT,Collier Heights,I,-84.483440000000002,33.779429999999998
6729366,170323173,02/01/2017,02/01/2017,07:30:00,02/01/2017,21:03:00,403,,,1466 LOCKWOOD DR SW,0690,2399,,1,Day,Wed,20,LARCENY-NON VEHICLE,Venetian Hills,S,-84.438580000000002,33.715229999999998
6729367,170323279,02/01/2017,01/31/2017,00:00:00,02/01/2017,08:00:00,503,,7,940 MYRTLE ST NE,0640,2305,,1,Unk,Tue,18,LARCENY-FROM VEHICLE,Midtown,E,-84.379589999999993,33.780149999999999
6729368,170323322,02/01/2017,01/18/2017,08:00:00,02/01/2017,22:20:00,410,,126,1827 HONEYSUCKLE LN SW,0650,2304,,1,Unk,Unk,26,LARCENY-FROM VEHICLE,Campbellton Road,R,-84.453590000000005,33.706249999999997
6729369,170323327,02/01/2017,02/01/2017,21:00:00,02/01/2017,22:20:00,506,,,650 PONCE DE LEON AVE NE @STAPLES - PONCE,0640,2305,,1,Eve,Wed,18,LARCENY-FROM VEHICLE,Midtown,E,-84.365610000000004,33.77469
6729370,170323346,02/01/2017,02/01/2017,22:35:00,02/01/2017,22:37:00,510,,,165 COURTLAND ST NE @SHERATON ATLANTA,0670,2308,,1,Eve,Wed,14,LARCENY-NON VEHICLE,Downtown,M,-84.383399999999995,33.758949999999999
6729371,170323351,02/01/2017,02/01/2017,22:20:00,02/01/2017,22:50:00,107,,,517 EMILY PL NW,0511,2202,10,1,Eve,Wed,,BURGLARY-RESIDENCE,Grove Park,J,-84.451179999999994,33.769260000000003
6729372,170323390,02/01/2017,02/01/2017,20:27:00,02/01/2017,22:31:00,505,,,710 PEACHTREE ST NE,0690,2399,,1,Eve,Wed,18,LARCENY-NON VEHICLE,Midtown,E,-84.385260000000002,33.774070000000002
6729373,170328032,02/01/2017,01/12/2017,14:10:00,01/31/2017,14:30:00,706,,,6000 NORTH TERMINAL PARKWAY,0630,2303,,1,Unk,Unk,,LARCENY-NON VEHICLE,,,-84.447699999999998,33.641840000000002
6729374,170330063,02/02/2017,02/02/2017,00:20:00,02/02/2017,00:21:00,601,,,968 SAINT CHARLES AVE NE,0311,1204,,1,Morn,Thu,20,ROBBERY-PEDESTRIAN,Virginia Highland,F,-84.355710000000002,33.775739999999999
6729375,170330220,02/02/2017,02/02/2017,01:00:00,02/02/2017,01:10:00,404,,,1424 S GORDON ST SW,0640,2305,,1,Morn,Thu,20,LARCENY-FROM VEHICLE,Westview,T,-84.434520000000006,33.739289999999997
6729376,170330300,02/02/2017,02/02/2017,01:35:00,02/02/2017,01:45:00,402,,,590 CASCADE AVE SW @KROGER - CASCADE,0630,2303,10,1,Morn,Thu,12,LARCENY-NON VEHICLE,West End,T,-84.432760000000002,33.738120000000002
6729377,170330493,02/02/2017,02/02/2017,03:07:00,02/02/2017,04:00:00,507,,,495 WHITEHALL ST SW,0640,2305,10,1,Morn,Thu,18,LARCENY-FROM VEHICLE,Castleberry Hill,M,-84.403859999999995,33.744050000000001
6729378,170330532,02/02/2017,02/02/2017,02:25:00,02/02/2017,03:30:00,204,,,1700 HOWELL MILL RD NW,0640,2305,,1,Morn,Thu,18,LARCENY-FROM VEHICLE,Berkeley Park,D,-84.415930000000003,33.800469999999997
6729379,170330678,02/02/2017,02/02/2017,04:00:00,02/02/2017,05:00:00,101,,,503 MITCHELL ST SW,0430,1315,,1,Morn,Thu,13,AGG ASSAULT,Atlanta University Center,T,-84.403549999999996,33.753970000000002
6729380,170330745,02/02/2017,02/01/2017,21:00:00,02/02/2017,05:30:00,108,,10,294 PENELOPE DR NW,0640,2305,,2,Morn,Thu,13,LARCENY-FROM VEHICLE,Penelope Neighbors,J,-84.449600000000004,33.754779999999997
6729381,170330754,02/02/2017,02/01/2017,22:00:00,02/02/2017,06:05:00,203,,,1040 HUFF RD NW,0640,2305,,1,Morn,Thu,18,LARCENY-FROM VEHICLE,Blandtown,D,-84.421250000000001,33.789490000000001
6729382,170330768,02/02/2017,02/02/2017,06:10:00,02/02/2017,06:20:00,112,,,2542 SANTA BARBARA DR NW,0710,2404,,1,Morn,Thu,20,AUTO THEFT,Collier Heights,I,-84.470960000000005,33.765099999999997
6729383,170330801,02/02/2017,02/02/2017,06:50:00,02/02/2017,07:00:00,412,,,2033 PINE CONE DR SW,0710,2404,,1,Morn,Thu,,AUTO THEFT,Heritage Valley,P,-84.500429999999994,33.700299999999999
